,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,Lat,Lng,Google Addresses,Postal Codes
1137,QUICK BITES,Silver Spoon,3.5,56,"Mavis Road, Mississauga","Janpath Plaza, 816 Britannia Road, Unit 103-4 L5V","Pakistani, Indian, Hakka Chinese",20,43.6095212,-79.69666649999999,"808-812-816 Britannia Rd W, Mississauga, ON L5V 0A6, Canada",L5V
1138,BAKERY,Furama,4.0,55,"Spadina Avenue, Kensington-Chinatown","248 - 250 Spadina Avenue, Toronto M5T 2C2","Bakery, Chinese",20,43.65158479999999,-79.39784370000001,"248 Spadina Ave, Toronto, ON M5T 2C2, Canada",M5T
1139,CASUAL DINING,Dim Sum King,3.2,47,"Dundas Street West, Kensington-Chinatown","Mandale Mall, Third Floor, 421 Dundas Street West, Toronto M5T 2W4","Dim Sum, Cantonese",40,43.6531242,-79.3952115,"421 Dundas St W, Toronto, ON M5T 2W4, Canada",M5T
1140,CASUAL DINING,Szechuan Gourmet,4.1,57,"Steeles Avenue West, North York","1033 Steeles Avenue W, North York M2R 2S9","Chinese, Asian",35,43.79138589999999,-79.4479416,"1033 Steeles Ave W, North York, ON M2R 2S9, Canada",M2R
1141,CASUAL DINING,Bombay To Go,3.8,59,"Dundas Street West, Mississauga","Dunwolfe Plaza, 755 Dundas Street West, Mississauga L5C 3B6",North Indian,40,43.5642672,-79.6355387,"777 Dundas St W, Mississauga, ON L5C 1C2, Canada",L5C
1142,CASUAL DINING,Veloute,4.1,48,"Queen Street East, The Beaches","2343 Queen Street East, Toronto","French, Grill",70,43.6720519,-79.28963859999999,"2343 Queen St E, Toronto, ON M4E 1H2, Canada",M4E
1143,CASUAL DINING,Grace O'Malley's,3.1,52,Entertainment District,"14 Duncan Street, Toronto",Bar Food,50,43.6476917,-79.3887456,"14 Duncan St, Toronto, ON M5H 3G8, Canada",M5H
1144,CASUAL DINING,Sky Dragon,3.3,58,"Spadina Avenue, Kensington-Chinatown","Dragon City Mall, Top Floor, 280 Spadina Avenue, Toronto M5T 1H2","Dim Sum, Cantonese",40,43.6525,-79.39833329999999,"280 Spadina Ave, Toronto, ON M5T 3A5, Canada",M5T
1145,CASUAL DINING,Azarias,4.2,47,"Bloor Street West, Etobicoke","3058 Bloor Street West, Etobicoke M8X1C4",Canadian,40,43.6471801,-79.51322429999999,"3058 Bloor St W, Etobicoke, ON M8X 1C4, Canada",M8X
1146,CASUAL DINING,Master Steaks,3.9,48,"Dixie Road, Mississauga","5895 Dixie Road, Mississauga L4W 1J2",Diner,35,43.6535451,-79.6442017,"5895 Dixie Rd, Mississauga, ON L4W 1E8, Canada",L4W
1147,FINE DINING,Modus Ristorante,3.9,45,"King Street West, Financial District","145 King Street West, Toronto M5H 1J8",Italian,100,43.6474734,-79.3839517,"145 King St W, Toronto, ON M5H 1J8, Canada",M5H
1148,CASUAL DINING,Darbar,4.0,42,"Dashwood Crescent, Yonge & Eglinton","288 Eglinton Avenue West, Toronto M4R 1B2",Iranian,85,43.7049819,-79.40775169999999,"288 Eglinton Ave W, Toronto, ON M4R 1B2, Canada",M4R
1149,CASUAL DINING,Ginza,4.1,62,"Weston Road, Woodbridge","8401 Weston Road, Unit 3-4, Vaughan","Sushi, Japanese, Asian, Thai",30,43.807158,-79.550246,"8401 Weston Rd Unit 3-4, Woodbridge, ON L4L 1A6, Canada",L4L
1150,QUICK BITES,Avenue Open Kitchen,3.9,43,"Camden Street, Fashion District","7 Camden Street, Toronto M5V 1V2","Deli, Fast Food",20,43.647128,-79.396451,"7 Camden St, Toronto, ON M5V 1V2, Canada",M5V
1151,QUICK BITES,Bolet's Burrito,4.3,59,"King Street East, St. Lawrence","134 Lower Sherbourne Street, Toronto",Tex-Mex,25,43.6499772,-79.3678839,"134 Lower Sherbourne St, Toronto, ON M5A 4J4, Canada",M5A
1152,QUICK BITES,Baldwin Street Burger,4.1,55,Whitby,"53 Baldwin Street North, Whitby L1M1A2",Burger,25,43.9570412,-78.96056639999999,"53 Baldwin St N, Whitby, ON L1M 1A2, Canada",L1M
1153,CASUAL DINING,Emma's Back Porch,3.2,58,"Old Lakeshore Road, Burlington","2084 Old Lakeshore Road, Burlington L7R 1A3","Grill, Canadian",90,43.3258179,-79.7925648,"2084 Old Lakeshore Rd, Burlington, ON L7R 1E3, Canada",L7R
1154,CASUAL DINING,Cho Dang Soon Tofu,3.6,51,"Dundas Street West, Etobicoke","5130 Dundas Street West, Etobicoke M9A1C2","Korean, Asian",40,43.6442389,-79.5334172,"5130 Dundas St W, Etobicoke, ON M9A 1C2, Canada",M9A
1155,FINE DINING,Cucci Ristorante,4.1,60,"Jones Street, Oakville","119 Jones Street, Bronte L6L 3E7",Italian,100,43.3964545,-79.71093379999999,"119 Jones St, Oakville, ON L6L 3E7, Canada",L6L
1156,CASUAL DINING,Osaka Sushi,3.3,39,"Don Mills Road, North York","747 Don Mills Road, North York",Sushi,45,43.7143132,-79.3342337,"747 Don Mills Rd, North York, ON M3C 3S4, Canada",M3C
1157,QUICK BITES,Chutney Swamy,3.9,52,"Eglinton Avenue West, Mississauga","2911 Eglinton Avenue W, Mississauga L5M 6J3",Indian,30,43.5516222,-79.7165437,"2911 Eglinton Ave W, Mississauga, ON L5M 6J3, Canada",L5M
1158,CASUAL DINING,Magic Wok,3.3,49,Markham,"4331, 14th Avenue, Markham L3R 0J2","Chinese, Asian",50,43.841605,-79.3105973,"4331 14th Ave, Markham, ON L3R 0J2, Canada",L3R
1159,CASUAL DINING,Mains Mansion,3.5,39,"Main Street North, Markham","144 Main Street North, Markham L3P 5T3",Canadian,80,43.8792378,-79.26144959999999,"144 Main St N, Markham, ON L3P 5T3, Canada",L3P
1160,CASUAL DINING,Russell Williams,4.0,58,Burlington,"20 Plains Road East, Burlington L7T2B8","Canadian, Diner",43,43.3070117,-79.8517098,"20 Plains Rd E, Burlington, ON L7T 2B9, Canada",L7T
1161,CASUAL DINING,Mambo Lounge,3.7,56,"Danforth Avenue, The Danforth","120 Danforth Avenue, Toronto M4K 1N1",Cuban,55,43.6765213,-79.3581172,"120 Danforth Ave, Toronto, ON M4K 1N1, Canada",M4K
1162,CASUAL DINING,Fuzen,4.2,60,"Frederick Street, St. Lawrence","132 Front Street East, Toronto M5A1E2","Sushi, Japanese, Asian",35,43.6502432,-79.36960669999999,"132 Front St E, Toronto, ON M5A 1E2, Canada",M5A
1163,CASUAL DINING,The Homeway,3.9,64,"Mount Pleasant Road, Yonge & Eglinton","955 Mount Pleasant Road, Toronto M4P",Diner,43,43.7125495,-79.3914071,"955 Mt Pleasant Rd, Toronto, ON M4P 2L7, Canada",M4P
1164,CASUAL DINING,Smoke Bourbon,3.0,50,"Harbord Street, Palmerston","291 Harbord Street, Toronto M6G 1G7","BBQ, American",55,43.6603341,-79.4150789,"291 Harbord St, Toronto, ON M6G 1G7, Canada",M6G
1165,CASUAL DINING,Sapore By Zafferano,4.0,66,"York Regional Road 27, Woodbridge","8000 Highway 27, Vaughan",Italian,65,43.7775319,-79.62344809999999,"8000 ON-27, Woodbridge, ON L4H 0A8, Canada",L4H
1166,CASUAL DINING,Mars Uptown Diner,3.6,53,"Yonge Street, Yonge & Eglinton","2363 Yonge Street, Toronto M4P 3J6",Diner,35,43.7091651,-79.3985653,"2363 Yonge St, Toronto, ON M4P 2C8, Canada",M4P
1167,CASUAL DINING,Desi Bar & Grill,3.7,53,"Rathburn Road East, Mississauga","Tomken Plaza, 925 Rathburn Road East, Mississauga L4W 4C3","Indian, Bar Food",40,43.6163821,-79.61728959999999,"925 Rathburn Rd E, Mississauga, ON L4W 4C3, Canada",L4W
1168,CASUAL DINING,Sababa Restaurant,4.1,64,"Steeles Avenue West, Thornhill","390 Steeles Avenue West, Vaughan",Middle Eastern,30,43.79608229999999,-79.4339068,"390 Steeles Ave W, Thornhill, ON L4J 6X2, Canada",L4J
1169,CASUAL DINING,Kabul Express,4.1,53,"Dundas Street East, Garden District","126 Dundas Street East, Toronto M5B 1E2",Afghan,30,43.6567816,-79.37641789999999,"126 Dundas St E, Toronto, ON M5B 1E2, Canada",M5B
1170,CASUAL DINING,Royal Garden,3.1,45,"Ontario Street South, Milton","550 Ontario St S, Milton L9T5E4","Hakka Chinese, Thai, Asian",13,43.5061848,-79.86354589999999,"550 Ontario St S, Milton, ON L9T 5E4, Canada",L9T
1171,DESSERT PARLOR,Bunner's,3.3,56,"Dundas Street West, The Junction","3054 Dundas Street West, Toronto M6P 1Z7","Desserts, Bakery",15,43.6656916,-79.4714453,"3054 Dundas St W, Toronto, ON M6P 1Z7, Canada",M6P
1172,CASUAL DINING,Pho Mi 89,3.7,61,"2501 Prince Michael Drive, Oakville","2501 Prince Michael Dr, Oakville L6H0H1","Vietnamese, Asian",13,43.4981635,-79.7073836,"2501 Prince Michael Dr, Oakville, ON L6H 0B6, Canada",L6H
1173,CASUAL DINING,Good Catch Boil House,3.2,12,Markham,"179 Enterprise Boulevard, Unit M-109, Markham L6G L6G","Seafood, Cajun",25,43.8491607,-79.3233212,"179 Enterprise Blvd Unit M-109, Markham, ON L6G 1B3, Canada",L6G
1174,DESSERT PARLOR,Sugar Tiers,3.7,38,"Markland Street, Markham","735 Markland Street, Unit 4, Markham L6C 0G6","Desserts, Cafe",13,43.8863426,-79.37343829999999,"4-735 Markland St, Markham, ON L6C 0G6, Canada",L6C
1175,BAR,Rhum Corner,3.6,39,"Dundas Street West, Trinity Bellwoods","926 Dundas Street West, Toronto","Tapas, Bar Food",65,43.6510056,-79.4132025,"926 Dundas St W, Toronto, ON M6J 1W3, Canada",M6J
1176,CASUAL DINING,Sorn Thai,4.0,56,"Yonge Street, Yonge & Eglinton","2550 Yonge Street, Toronto","Thai, Asian",55,43.7133523,-79.4000643,"2550 Yonge St, Toronto, ON M4P 2J2, Canada",M4P
1177,CASUAL DINING,Turtle Jack's Yonge,3.6,61,"Yonge Street, Richmond Hill","11740 Yonge Street, Richmond Hill L4E 0K4","Grill, Canadian",55,43.9136053,-79.44810559999999,"11740 Yonge St, Richmond Hill, ON L4E 0K4, Canada",L4E
1178,CASUAL DINING,Vertical,3.7,62,"King Street West, Entertainment District","First Canadian Place, 100 King Street West, Toronto M5X1E1",Italian,65,43.6486111,-79.3816667,"100 King St W, Toronto, ON M5X 1A9, Canada",M5X
1179,CASUAL DINING,District Social,3.7,38,"College Street, Dufferin Grove","842 College Street, Toronto M6H 1A2","Middle Eastern, Mediterranean",80,43.6544302,-79.4232797,"842 College St, Toronto, ON M6H 1A2, Canada",M6H
1180,CASUAL DINING,Hakka Garden,4.2,53,"Overlea Boulevard, Thorncliffe Park","Overlea Mews, 25 Overlea Boulevard, Toronto","Hakka Chinese, Asian",30,43.7043343,-79.3499987,"25 Overlea Blvd, Toronto, ON M4H 1P9, Canada",M4H
1181,QUICK BITES,Pizza La Rosa,3.6,27,"Victoria Park Avenue, Scarborough","Victoria Commons, 2555 Victoria Park Avenue, Unit 19, Scarborough M1T 1A3","Pizza, Sandwich",30,43.7732196,-79.3216344,"2555 Victoria Park Ave, Scarborough, ON M1T 1A3, Canada",M1T
1182,CASUAL DINING,Santorini,3.9,55,"John Street, Thornhill","288 John Street, Thornhill, GTA",Greek,70,43.8199341,-79.3990158,"288 John St, Thornhill, ON L3T 6M8, Canada",L3T
1183,CASUAL DINING,Bún Saigon,3.8,52,"Spadina Avenue, Kensington-Chinatown","252 Spadina Avenue, Toronto M5T 2C2",Vietnamese,25,43.65164679999999,-79.3978711,"252 Spadina Ave, Toronto, ON M5T 2C2, Canada",M5T
1184,CASUAL DINING,Gourmet Vegetarian Restaurant,3.8,37,"West Beaver Creek Road, Richmond Hill","280 West Beaver Creek Road, Richmond Hill",Chinese,30,43.8441627,-79.3877344,"280 West Beaver Creek Rd, Richmond Hill, ON L4B 3B1, Canada",L4B
1185,QUICK BITES,Jalsa,3.8,55,"Queen Street West, Brampton","4 McLaughlin Road S, Unit 11, Brampton, ON L6Y 3B2 5G9","Indian, Fast Food",20,43.6758476,-79.7686375,"11-4 McLaughlin Rd S, Brampton, ON L6Y 3B2, Canada",L6Y
1186,QUICK BITES,Indian Sweet Master,3.3,30,Brampton,503 Ray Lawson Boulevard L6Y 0N2,"Indian, Hakka Chinese, Desserts",25,43.6507218,-79.7363487,"503 Ray Lawson Blvd, Brampton, ON L6Y 0N2, Canada",L6Y
1187,CASUAL DINING,El Fogon,3.6,39,"Saint Clair Avenue West, Hillcrest","543 St. Clair Avenue West, Toronto","Peruvian, Latin American",70,43.6825369,-79.42048199999999,"543 St Clair Ave W, Toronto, ON M6C 1A3, Canada",M6C
1188,CASUAL DINING,The Craft Brasserie & Grille,3.3,20,"Atlantic Avenue, Liberty Village","107 Atlantic Avenue, Toronto M6K 1Y2","Canadian, Tapas",50,43.6393233,-79.4205411,"107 Atlantic Ave, Toronto, ON M6K 1Y2, Canada",M6K
1189,CASUAL DINING,Mashu Mashu Mediterranean Grill,3.9,52,"Montclair Avenue, Forest Hill","387 Spadina Rd, Toronto M5P 2W1","Mediterranean, Middle Eastern, Moroccan",43,43.6883404,-79.41248619999999,"387 Spadina Rd, Toronto, ON M5P 2W1, Canada",M5P
1190,QUICK BITES,Churrasco of St. Clair,3.8,53,"Saint Clair Avenue West, Hillcrest","679 St. Clair Avenue West, Toronto M6C 1A7","Portuguese, Grill",20,43.68162909999999,-79.425331,"679 St Clair Ave W, Toronto, ON M6C 1A7, Canada",M6C
1191,CASUAL DINING,Mumbay Grill,4.6,55,"Kingston Road West, Ajax","619 Kingston Road, Ajax",Indian,35,43.8537738,-79.0564998,"619 Kingston Rd W, Ajax, ON L1S 6L9, Canada",L1S
1192,CASUAL DINING,Carmelina,4.0,52,"Woodbine Avenue, Markham","7501 Woodbine Avenue, Markham","Italian, Mediterranean",65,43.8266792,-79.350956,"7501 Woodbine Ave, Markham, ON L3R 2W1, Canada",L3R
1193,CASUAL DINING,Lara's Restaurant,3.9,29,"Consumers Road, North York","155 Consumers Road, North York M2J 0A8",Middle Eastern,30,43.7732164,-79.3326493,"155 Consumers Rd, North York, ON M2J, Canada",M2J
1194,PUB,The Frog,4.0,49,"Yonge Street, North York","4854 Yonge Street, North York M2N 5N2",Bar Food,65,43.76263549999999,-79.4117249,"4854 Yonge St, North York, ON M2N 5N2, Canada",M2N
1195,CASUAL DINING,Ichiriki,4.0,47,"Bloor Street West, Church And Wellesley","120 Bloor Street East, Unit 103, Toronto M4W 1B7",Sushi,45,43.6711967,-79.3839517,"103-120 Bloor St E, Toronto, ON M4W 1B7, Canada",M4W
1196,BAR,The Reservoir Lounge,3.8,51,"Wellington Street East, St. Lawrence","52 Wellington Street East, Toronto M5E 1C7",Bar Food,75,43.6486329,-79.3746187,"52 Wellington St E, Toronto, ON M5E 1C7, Canada",M5E
1197,BAKERY,St. Phillips Bakery,3.8,56,"Major Mackenzie Drive West, Vaughan","2563 Major Mackenzie Drive, Unit 8, Vaughan","Bakery, Cafe",15,43.851878,-79.522317,"8-2563 Major MacKenzie Dr W, Maple, ON L6A 2E8, Canada",L6A
1198,QUICK BITES,Wonton Chai Noodle,3.9,34,"Creditview Road, Mississauga","4040 Creditview Road, Mississauga L5C 3Y8",Cantonese,30,43.5681783,-79.6659981,"4040 Creditview Rd, Mississauga, ON L5C 3Y8, Canada",L5C
1199,CASUAL DINING,Tutto Bene,4.1,55,"Yonge Street, Thornhill","8133 Yonge Street, Thornhill",Italian,80,43.8261518,-79.4261185,"8133 Yonge St, Thornhill, ON L4J 1W5, Canada",L4J
1200,BAR,Furlough,3.4,18,"Queen Street West, Trinity Bellwoods","924 Queen Street West, Toronto M6J 1G6",European,40,43.6448978,-79.415899,"924 Queen St W, Toronto, ON M6J 1G6, Canada",M6J
1201,CASUAL DINING,Imanishi Japanese Kitchen,3.5,14,"Dundas Street West, Dufferin Grove",1330 Dundas Street West M6J 1Y1,Asian,50,43.6496911,-79.4265427,"1330 Dundas St W, Toronto, ON M6J 1Y1, Canada",M6J
1202,CASUAL DINING,Elegance Chinese,3.1,20,"Warden Avenue, Markham","7130 Warden Avenue, Markham","Dim Sum, Cantonese",40,43.8240904,-79.3261795,"7130 Warden Ave, Markham, ON L3R 4N3, Canada",L3R
1203,CASUAL DINING,To Ne Sushi,3.5,39,"Queen Street West, Kensington-Chinatown","414 Queen Street West, Toronto","Sushi, Japanese, Asian",40,43.64872,-79.3978723,"414 Queen St W, Toronto, ON M5V 2A7, Canada",M5V
1204,QUICK BITES,Skyway Jack's,3.8,51,"Mississauga Road, Mississauga","6461 Mississauga Road, Mississauga L5N 1A6",Greek,25,43.5975714,-79.7348611,"6461 Mississauga Rd, Mississauga, ON L5N 1A6, Canada",L5N
1205,CASUAL DINING,Rectory Cafe,3.8,38,"Lakeshore Avenue, Islands","102 Lakeshore Avenue, Ward's Island, Toronto M5J 1X9",Cafe,35,43.6273807,-79.3565268,"102 Lakeshore Ave, Toronto, ON M5J 1X9, Canada",M5J
1206,CASUAL DINING,Mo'Ramyun,2.7,22,"Baldwin Street, Grange Park","1 Baldwin Street, Toronto M5T 1L1","Korean, Asian Fusion, Ramen",30,43.6560455,-79.39232249999999,"1 Baldwin St, Toronto, ON M5T 1L1, Canada",M5T
1207,DESSERT PARLOR,mon K patisserie,3.7,28,"Coxwell Avenue, Old East York","1040 Coxwell Avenue, Toronto","Desserts, Cafe, Japanese, French",15,43.6969219,-79.32952039999999,"1040 Coxwell Ave, East York, ON M4C 3G5, Canada",M4C
1208,CASUAL DINING,La Sani Grill,3.3,50,"Ellesmere Road, Scarborough","2058 Ellesmere Road, Scarborough M1H 3B7","Indian, Grill",30,43.7767257,-79.2344538,"2058 Ellesmere Rd, Scarborough, ON M1H 3G1, Canada",M1H
1209,CASUAL DINING,Barque Butcher Bar,3.7,18,"Roncesvalles Avenue, Roncesvalles Village","287 Roncesvalles Avenue, Toronto M6R 2M3","BBQ, Canadian",65,43.6476619,-79.4493284,"287 Roncesvalles Ave, Toronto, ON M6R 2M3, Canada",M6R
1210,BAR,Bryden's,3.7,72,"2 Jane Street, York","2455 Bloor Street West, Toronto M6S 1P7",Bar Food,60,43.6490365,-79.4845701,"2455 Bloor St W, Toronto, ON M6S 1P7, Canada",M6S
1211,CASUAL DINING,Just Thai,3.3,61,"Church Street, Church And Wellesley","534 Church Street, Toronto M4Y2E1","Thai, Asian",40,43.6650073,-79.38081110000002,"534 Church St, Toronto, ON M4Y 2E1, Canada",M4Y
1212,CASUAL DINING,O'Grady's,3.1,68,"Church Street, Church And Wellesley","518 Church Street, Toronto M4Y 2E8",Bar Food,65,43.6644927,-79.3806306,"518 Church St, Toronto, ON M4Y 2C8, Canada",M4Y
1213,BAKERY,Patisserie 27,3.9,33,"Jane Street, Runnymede","401 Jane Street, Toronto M6S 2E2","Bakery, Patisserie, Cafe",15,43.6584575,-79.4880731,"401 Jane St, Toronto, ON M6S 2E2, Canada",M6S
1214,CASUAL DINING,Dog & Bear,3.2,34,"Queen Street West, Beaconsfield Village","1100 Queen Street West, Toronto M6J 1H9","Bar Food, British",75,43.6436238,-79.4229572,"1100 Queen St W, Toronto, ON M6J 1H9, Canada",M6J
1215,CASUAL DINING,Jawny Bakers,3.7,57,"O'connor Drive, O'Connor-Parkview","804 O'Conner Drive, Toronto",American,45,43.70575789999999,-79.3129744,"804 O'Connor Dr, Toronto, ON M4B 2S9, Canada",M4B
1216,CAFÉ,Mercury Espresso Bar,3.9,66,"Queen Street East, Leslieville","915 Queen Street East, Leslieville","Cafe, Coffee and Tea",25,43.660584,-79.341341,"915 Queen St E, Toronto, ON M4M 1J4, Canada",M4M
1217,QUICK BITES,Chef's Door,4.1,60,"Winston Churchill Boulevard, Mississauga","1140 Winston Churchill Boulevard, Mississauga","Mediterranean, Fast Food",35,43.499293,-79.6505622,"1140 Winston Churchill Blvd, Oakville, ON L6J 0A3, Canada",L6J
1218,CAFÉ,Voodoo Child Cafe,3.8,30,"College Street, Harbord Village","388 College Street, Toronto M5T 1S7",Cafe,40,43.6570499,-79.40551430000001,"388 College St, Toronto, ON M5T 1S7, Canada",M5T
1219,CASUAL DINING,Ferrovia Ristorante,4.0,44,Thornhill,"7355 Bayview Avenue, Thornhill",Italian,60,43.8133323,-79.39855399999999,"7355 Bayview Ave, Thornhill, ON L3T 5Z2, Canada",L3T
1220,QUICK BITES,Halifax Donair,4.1,63,"Main Street East, Milton","295 Main Street East, Milton",Fast Food,20,43.5151122,-79.8814393,"295 Main St E, Milton, ON L9T 1P1, Canada",L9T
1221,BAR,Reposado Bar & Lounge,3.7,47,"Ossington Avenue, Beaconsfield Village","136 Ossington Avenue, Toronto M6J 1R5",Tapas,60,43.6472981,-79.4201652,"136 Ossington Ave, Toronto, ON M6J 2Z5, Canada",M6J
1222,CASUAL DINING,Sushi Supreme,3.8,66,"Yonge Street, Yonge & Eglinton","1995 Yonge Street, Toronto M4S 1Z9","Sushi, Japanese, Asian",45,43.7006166,-79.3967618,"1995 Yonge St, Toronto, ON M4S 1Z8, Canada",M4S
1223,QUICK BITES,Samosa And Sweet Factory,3.9,40,"Albion Road, Etobicoke","1850 Albion Road, Unit 6 -7, Etobicoke M9J 5J2","Indian, Desserts",25,43.7462518,-79.6155679,"6-1850 Albion Rd, Etobicoke, ON M9W 5T2, Canada",M9W
1224,CASUAL DINING,Siddhartha Pure Vegetarian,3.8,67,"Gerrard Street East, Leslieville","1471 Gerrard Street East, Toronto M4L2A1",Indian,50,43.6723868,-79.3206817,"1471 Gerrard St E, Toronto, ON M4L 2A1, Canada",M4L
1225,QUICK BITES,Cocoalatte,3.9,39,"Saint Clair Avenue West, Hillcrest","671 St. Clair Avenue West, Toronto M6C 1A7",Cafe,35,43.6816056,-79.4250588,"671 St Clair Ave W, Toronto, ON M6C 1A7, Canada",M6C
1226,QUICK BITES,The Clubhouse Sandwich Shop,3.9,37,"College Street, Kensington-Chinatown","455 Spadina Avenue, Toronto M5G 2G8",Sandwich,25,43.6582095,-79.3996927,"455 Spadina Ave, Toronto, ON M5S 2G8, Canada",M5S
1227,CASUAL DINING,Santo Italian Restaurant,3.9,33,"Royal Orchard Boulevard, Thornhill","10 Royal Orchard Boulevard, Thornhill L3T 3C3",Italian,60,43.8237774,-79.42414649999999,"10 Royal Orchard Blvd, Thornhill, ON L3T 3C3, Canada",L3T
1228,DESSERT PARLOR,La Paloma Gelateria & Cafe,4.1,73,"Saint Clair Avenue West, Earlscourt","1357 St. Clair Avenue West, Toronto M6E 1C5","Italian, Ice Cream, Desserts",20,43.6759283,-79.45087509999999,"1357 St Clair Ave W, Toronto, ON M6E 1C5, Canada",M6E
1229,BAR,The Artful Dodger,4.1,53,"Isabella Street, Church And Wellesley","10 Isabella Street, Toronto M4Y 1N1","Bar Food, British",60,43.6678941,-79.38518859999999,"10 Isabella St, Toronto, ON M4Y 1N1, Canada",M4Y
1230,CASUAL DINING,Aji Sai Plus,2.9,55,"Yonge Street, Downtown Yonge","637 Yonge Street, Toronto M4Y 1Z5","Sushi, Japanese, Asian",40,43.667463,-79.3854393,"637 Yonge St, Toronto, ON M4Y 1Z5, Canada",M4Y
1231,BAKERY,Nino D'Aversa Bakery,3.9,61,Aurora,"230 Wellington Street East, Aurora L4G1J5","Italian, Bakery",35,44.002619,-79.45552239999999,"230 Wellington St E, Aurora, ON L4G 1J5, Canada",L4G
1232,QUICK BITES,Toronto Popcorn Company,3.7,30,"Spadina Avenue, Kensington-Chinatown","147 Baldwin Street, Toronto M5T3K7",Fast Food,15,43.6549604,-79.3994572,"147 Baldwin St, Toronto, ON M5T 1L9, Canada",M5T
1233,CASUAL DINING,Lisbon by Night,3.7,37,"Dundas Street West, Trinity Bellwoods","802 Dundas Street West, Toronto","Seafood, Portuguese",60,43.6519447,-79.40867659999999,"802 Dundas St W, Toronto, ON M6J 1V3, Canada",M6J
1234,CASUAL DINING,Nine18 - Turnberry Golf Club,4.2,51,Brampton,"Turnberry Golf Club, 10100 Heart Lake Road, Brampton",Canadian,125,43.72283789999999,-79.7739921,"10100 Heart Lake Rd, Brampton, ON L6Z 0B4, Canada",L6Z
1235,BAR,Stout Irish Pub,4.0,68,"Carlton Street, Cabbagetown","221 Carlton Street, Toronto M5A 2L2","Irish, Bar Food",80,43.6637964,-79.3689038,"221 Carlton St, Toronto, ON M5A 2L2, Canada",M5A
1236,CASUAL DINING,Old Country Inn,3.8,42,"Main Street, Markham","198 Main Street Unionville, Markham L3R 2G9","Austrian, European",85,43.8678386,-79.3126855,"198 Main St Unionville, Unionville, ON L3R 2G9, Canada",L3R
1237,CASUAL DINING,Toshi,4.3,63,"Gillingham Drive, Brampton","Rona Plaza, Unit 8, 10 Gillingham Drive, Brampton L6X 5A5","Sushi, Japanese, Asian",40,43.7034154,-79.7849298,"8-10 Gillingham Dr, Brampton, ON L6X 0G6, Canada",L6X
1238,QUICK BITES,New Yorker Deli,3.8,64,"Charles Street West, Downtown Yonge","1140 Bay Street, Toronto M4W 1J2","Sandwich, American",40,43.6683881,-79.38928020000002,"1140 Bay St, Toronto, ON M5S 2Z4, Canada",M5S
1239,CASUAL DINING,Haze Lounge,3.8,51,"Sherwoodtowne Boulevard, Mississauga","4230 Sherwoodtowne Boulevard, Mississauga L4Z 2G6","Middle Eastern, Lebanese",75,43.5998183,-79.64025409999999,"4230 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6, Canada",L4Z
1240,CASUAL DINING,Boston Pizza,3.3,44,"Square One Shopping Centre, Mississauga","35 Square One Drive, Mississauga, Toronto L5B 0E2","American, Pizza",40,43.5966768,-79.6424333,"35 Square One Dr, Mississauga, ON L5B 1M2, Canada",L5B
1241,QUICK BITES,Ritz Caribbean Foods,3.9,54,"Yonge Street, Downtown Yonge","450 Yonge Street, Toronto M4Y 1W9","Caribbean, Jamaican",30,43.6615271,-79.38341179999999,"450 Yonge St, Toronto, ON M4Y 1W9, Canada",M4Y
1242,CASUAL DINING,Shark Club - Sports Bar & Grill,3.0,59,"Dundas Street West, Downtown Yonge","10 Dundas East, L3, Toronto M5B 2G9","Bar Food, Grill",75,43.65665,-79.3804851,"10 Dundas St E, Toronto, ON M5B 2G9, Canada",M5B
1243,CASUAL DINING,Angus Pho House,3.3,25,"Yonge Street, North York","5443 Yonge Street, North York M2N 5S1","Vietnamese, Asian",30,43.77708090000001,-79.4146001,"5443 Yonge St, North York, ON M2N 5S1, Canada",M2N
1244,CASUAL DINING,Fionn MacCool's - Toronto Pearson International...,2.0,58,"Silver Dart Drive, Mississauga","Terminal 3 (After Security Canada), Near Gate B24, Pearson International Airport, Mississauga L4V 1Y9","Bar Food, Irish, Canadian",60,43.6868731,-79.62095169999999,"Pearson Airport Terminal 3, Mississauga, ON L5P, Canada",L5P
1245,QUICK BITES,Saffron Spice Kitchen,3.6,43,"Queen Street West, Fashion District","459 Queen Street W, Toronto","Indian, Sri Lankan",30,43.648407,-79.3972105,"459 Queen St W, Toronto, ON M5V 2A9, Canada",M5V
1246,CASUAL DINING,Red Rooster,4.0,61,"Major Mackenzie Drive West, Vaughan","975 Major Mackenzie Drive W, Vaughan L6A 4P8","Portuguese, European",30,43.8642348,-79.46955349999999,"975 Major MacKenzie Dr W, Maple, ON L6A 4P8, Canada",L6A
1247,CASUAL DINING,United Bakers,4.2,54,"Lawrence Avenue West, North York","Lawrence Plaza, 506 Lawrence Avenue West, North York M6A 1A1","Soul Food, Bakery",25,43.7204084,-79.431159,"506 Lawrence Ave W, North York, ON M6A 2A1, Canada",M6A
1248,QUICK BITES,Mr. Jerk,4.3,63,"Wellesley Street East, Cabbagetown","209 Wellesley Street East, Toronto",Caribbean,30,43.6672343,-79.37339469999999,"209 Wellesley St E, Toronto, ON M4X 1G1, Canada",M4X
